place_name,rows,avg_rating,sentiment_distribution
Jolly 手工釀啤 酒泰食餐廳-衡陽店,20,4.45,"{'positive': 17, 'negative': 3}"
Juicy Bun Burger 就是棒 美式餐廳 政大店,20,4.55,{'positive': 20}
KATSU鑫 熟成豬排蓋飯｜中山店,20,3.95,"{'positive': 14, 'negative': 6}"
KOBE SWEETS CAFE 神戶果実 微風南山,20,3.5,"{'positive': 13, 'negative': 7}"
Knock Knock Who's There? Bistro,20,4.95,{'positive': 20}
L' AGE 熟成餐廳,20,4.65,"{'positive': 18, 'negative': 2}"
LI RA義大利廚房,20,3.85,"{'positive': 15, 'negative': 5}"
LOCOFOOD 樂口福 大安加盟店,20,4.3,"{'positive': 18, 'negative': 2}"
LULU義大利餐廳,20,4.25,"{'positive': 17, 'negative': 3}"
La cuisine Bourgeoise 布爾喬亞,20,4.45,"{'positive': 18, 'negative': 2}"
Lazy Pasta 慵懶義式廚房文山政大店,20,4.5,"{'positive': 18, 'negative': 2}"
Le Corner早餐/早午餐/外送午餐便當,20,4.5,"{'positive': 17, 'negative': 3}"
Leo's Playland 樂幼屋親子派對歡樂園,20,4.25,"{'positive': 16, 'negative': 4}"
Lisa泰式美食,20,4.35,"{'positive': 18, 'negative': 2}"
Longtail,20,4.7,"{'positive': 19, 'negative': 1}"
Loving Hut 愛家國際餐飲 台北 和平店,20,4.65,"{'positive': 19, 'negative': 1}"
M One Cafe 大安,20,4.5,"{'positive': 18, 'negative': 2}"
MAMA'S 鐵鍋早午餐 南京店,20,4.75,"{'positive': 19, 'negative': 1}"
MASA 百元手工塔可店 通安創始店,20,3.9,"{'positive': 15, 'negative': 5}"
MAiSEN邁泉豬排 台北101店,20,4.1,"{'positive': 15, 'negative': 5}"
MD創作料理（台大明達館）,20,4.85,{'positive': 20}
MIXTIO 秘地餐廳,20,4.7,"{'positive': 19, 'negative': 1}"
MO-MO-PARADISE 台北Neo19牧場,20,4.45,"{'positive': 17, 'negative': 3}"
MR ENERGY 能量先生水煮餐盒 台北和平,20,3.65,"{'positive': 12, 'negative': 8}"
MR ENERGY 能量先生水煮餐盒 台北大安,20,3.75,"{'positive': 13, 'negative': 7}"
MUME,20,4.4,"{'positive': 16, 'negative': 4}"
MY麵屋（自製菠菜涼麵,20,4.15,"{'positive': 15, 'negative': 5}"
"Madison Taipei, a Tribute Portfolio Hotel",20,4.35,"{'positive': 17, 'negative': 3}"
Mars Coffee,20,4.4,"{'positive': 17, 'negative': 3}"
McCafé 咖啡-復興二店,9,3.0,"{'negative': 5, 'positive': 4}"
Miss V Bakery Cafe 敦北店,20,4.7,"{'positive': 19, 'negative': 1}"
Miss V Bakery Cafe 赤峰店,20,4.35,"{'positive': 18, 'negative': 2}"
Moon Baking studio 松山店,20,4.4,"{'positive': 18, 'negative': 2}"
Mr. Light 輕食先生,20,4.1,"{'positive': 14, 'negative': 6}"
Mr.Omelet歐姆先生,20,4.3,"{'positive': 16, 'negative': 4}"
Mövenpick Café-莫凡彼台北民生店,20,4.25,"{'positive': 18, 'negative': 2}"
Nola Kitchen 台北林森店(二號巷子口內、喜來登飯店後方),20,4.1,"{'positive': 15, 'negative': 5}"
"Nomade Taipei 諾瑪餐酒館 （12/24,25未支付定金者不保留訂位）",20,4.45,"{'positive': 19, 'negative': 1}"
Nul Taipei 歐陸餐廳小酒館,20,4.25,"{'positive': 15, 'negative': 5}"
ON TAP,20,4.2,"{'positive': 16, 'negative': 4}"
Old rattan coffee 荖藤咖啡 - Taiwan,20,4.85,{'positive': 20}
Onni韓食堂,20,4.0,"{'positive': 16, 'negative': 4}"
Ooh Cha Cha 自然食,20,4.2,"{'positive': 16, 'negative': 4}"
Orchid Restaurant 蘭,20,4.05,"{'positive': 14, 'negative': 6}"
PAI CAFÉ & BRUNCH 八德店,20,3.9,"{'positive': 13, 'negative': 7}"
PAUSES BURGER BAR 暫停漢堡,20,4.5,"{'positive': 17, 'negative': 3}"
PICO PICO,20,4.75,"{'positive': 19, 'negative': 1}"
PIZZA HUT必勝客-景美外送店,20,4.2,"{'positive': 16, 'negative': 4}"
Pali Pali Taipei_餐酒館/Bistro,20,4.8,"{'positive': 19, 'negative': 1}"
Parko Parco 牛肚包義大利餐酒館,20,4.25,"{'positive': 17, 'negative': 3}"
Pasta NO30,20,4.2,"{'positive': 16, 'negative': 4}"
Pattie-O 樂緹歐美式餐廳,20,4.25,"{'positive': 17, 'negative': 3}"
Petit France 小法國餐館,20,4.3,"{'positive': 17, 'negative': 3}"
Pizza Hut,20,3.2,"{'positive': 10, 'negative': 10}"
Pizza Hut必勝客-大安外送店,20,3.2,"{'positive': 12, 'negative': 8}"
Placeee 場所,20,4.9,{'positive': 20}
Popeyes Chicken 台北101店,20,3.9,"{'positive': 13, 'negative': 7}"
Q Burger 文山世新店(直營),20,2.45,"{'negative': 14, 'positive': 6}"
Q Burger 松山民生店(直營),20,3.35,"{'positive': 11, 'negative': 9}"
QUEEN SHOP Life Store 新莊輔大店,20,4.5,"{'positive': 18, 'negative': 2}"
ROYAL DAAN Restaurant,20,3.5,"{'positive': 12, 'negative': 8}"
RYO.CO早午餐x咖哩,20,4.45,"{'positive': 16, 'negative': 4}"
Red Room Rendezvous 紅房餐酒館,20,4.25,"{'positive': 16, 'negative': 4}"
Restaurant A,20,4.9,{'positive': 20}
SALT&STONE 台北101餐廳,20,4.5,{'positive': 20}
SENS,20,4.6,"{'positive': 18, 'negative': 2}"
SMEXY音樂餐廳,20,4.2,"{'positive': 16, 'negative': 4}"
SOWIESO,19,3.6842105263157894,"{'positive': 12, 'negative': 7}"
SUBWAY 大安公園餐廳店,20,2.95,"{'negative': 11, 'positive': 9}"
SUBWAY 大安捷運店,20,2.2,"{'negative': 16, 'positive': 4}"
SUBWAY 復興和平店,20,2.0,"{'negative': 18, 'positive': 2}"
SUBWAY 松山機場店,20,3.35,"{'positive': 10, 'negative': 10}"
SUCRÉ BEANS Coffee Roasters,20,4.8,"{'positive': 19, 'negative': 1}"
SWENSEN'S 双聖大安店,20,4.1,"{'positive': 16, 'negative': 4}"
Saffron 46,20,4.45,"{'positive': 17, 'negative': 3}"
Salad Den,20,4.7,"{'positive': 18, 'negative': 2}"
Santé Lounge & Bar,20,4.45,"{'positive': 17, 'negative': 3}"
Second Floor 貳樓仁愛店,20,3.65,"{'positive': 11, 'negative': 9}"
Second Floor 貳樓公館店,60,4.2,"{'positive': 47, 'negative': 13}"
Second Floor 貳樓微風南山店,20,4.4,"{'positive': 19, 'negative': 1}"
Second Floor 貳樓微風台北車站店,20,4.4,"{'positive': 18, 'negative': 2}"
Second Floor 貳樓敦南店,20,4.7,"{'positive': 19, 'negative': 1}"
Shishlik Pita x Kebab 西西里克中東串燒（餐館店）,40,4.1,"{'positive': 31, 'negative': 9}"
Single&Double（文山特色鐵觀音梅酒、威士忌）,20,4.95,{'positive': 20}
Sipping Food 義式廚房,19,4.578947368421052,"{'positive': 17, 'negative': 2}"
Smith & Wollensky - Taipei,20,4.05,"{'positive': 13, 'negative': 7}"
Snail 蝸牛義大利餐廳 敦南店,20,4.55,"{'positive': 18, 'negative': 2}"
Snail 蝸牛義大利餐廳 民生店,20,4.65,{'positive': 20}
Solo Pizza Napoletana 台北店,20,4.35,"{'positive': 17, 'negative': 3}"
Somm - LA MAISON DU SOMMELIER,20,4.55,"{'positive': 19, 'negative': 1}"
TAMED FOX 大安店,20,3.85,"{'positive': 15, 'negative': 5}"
THE DOOR樂多,20,4.2,"{'positive': 16, 'negative': 4}"
THE LABEL CO. 便當餐盒・點心輕食專門店,20,4.55,"{'positive': 18, 'negative': 2}"
THE PIZZ惹披薩吃到飽329/379-❤️DIY PIZZA體驗🍕-輔大美食-餐廳,20,4.55,"{'positive': 18, 'negative': 2}"
TMJ TAIPEI 無菜單創意料理｜套餐提前二天預訂｜義法日fusion｜寵物友善,20,4.75,"{'positive': 19, 'negative': 1}"
Taipei8 Caffee Daan,20,3.75,"{'positive': 14, 'negative': 6}"
Taste Test 試試工作室 x CF,20,4.75,"{'positive': 19, 'negative': 1}"
Thai&Thai 泰式餐廳,20,4.75,{'positive': 20}
The Antipodean (富錦店),20,4.4,"{'positive': 18, 'negative': 2}"
The Green Room 泰式蔬食,20,3.65,"{'positive': 11, 'negative': 9}"
The Public House,20,4.55,"{'positive': 19, 'negative': 1}"
The Shed,20,4.7,{'positive': 20}
The Stage Canteen,20,4.75,"{'positive': 19, 'negative': 1}"
The Tavernist,20,4.35,"{'positive': 16, 'negative': 4}"
The Ukai Taipei,20,4.5,"{'positive': 18, 'negative': 2}"
Tipsy Dreamer 追夢人,17,4.352941176470588,"{'positive': 14, 'negative': 3}"
Toh-A 桌藏餐廳,20,3.55,"{'positive': 12, 'negative': 8}"
UMAMI 金色三麥,20,4.0,"{'positive': 15, 'negative': 5}"
Uncle Burger 漢堡叔叔,20,4.6,"{'positive': 18, 'negative': 2}"
Uranium Cafe 鈾咖啡餐酒館,20,4.6,"{'positive': 17, 'negative': 3}"
VEGAN AMORE 蔬慕,20,4.75,"{'positive': 19, 'negative': 1}"
VEGE CREEK 蔬河 台北101店,20,4.15,"{'positive': 15, 'negative': 5}"
WOWffizi Cafe&Bistro 烏菲茲餐酒館 | 義大利麵 | 燉飯 | 中山站美食 | 丁骨牛排 | 義大利甜點 | 精釀啤酒 | 葡萄酒 | 威士忌,20,4.9,{'positive': 20}
Will's Teppanyaki (三店）,8,4.875,{'positive': 8}
Will’s Teppanyaki,20,3.8,"{'positive': 12, 'negative': 8}"
Woolloomooloo,20,4.2,"{'positive': 16, 'negative': 4}"
Woolloomooloo Fujin,20,4.15,"{'positive': 15, 'negative': 5}"
YABI KITCHEN 微風南山店,20,3.85,"{'positive': 13, 'negative': 7}"
YAYOI彌生軒 敦南和平店,20,3.95,"{'positive': 15, 'negative': 5}"
YU POKÉ-夏威夷生魚飯,40,3.875,"{'positive': 29, 'negative': 11}"
Yellow Monday Coffee & Croffle 民生店｜現烤可頌鬆餅、精品咖啡、外送下午茶,20,4.65,"{'positive': 19, 'negative': 1}"
ZAC ZAG 一樂炸雞 ｜ KOREAN CHICKEN 必吃韓式炸雞 漢堡 奶昔 推薦美食,20,4.35,"{'positive': 18, 'negative': 2}"
ZOOM 咖啡,16,5.0,{'positive': 16}
Zoo KeepeR,20,4.9,{'positive': 20}
bb.q CHICKEN公館店,40,3.675,"{'positive': 27, 'negative': 13}"
chinois,20,4.15,"{'positive': 15, 'negative': 5}"
de nuit,20,4.5,"{'positive': 18, 'negative': 2}"
gubami Social,20,4.3,"{'positive': 16, 'negative': 4}"
hómee KITCHEN 好饗廚房-松山機場,20,4.25,"{'positive': 16, 'negative': 4}"
ivette Da An,20,4.15,"{'positive': 15, 'negative': 5}"
passer,20,4.75,{'positive': 20}
solo pasta,20,4.1,"{'positive': 15, 'negative': 5}"
uMeal 優善糧｜食物樂高領導品牌｜台大水源店,40,3.825,"{'positive': 28, 'negative': 12}"
uMeal 優善糧｜食物樂高領導品牌｜松山機場店,20,3.75,"{'positive': 13, 'negative': 7}"
ÎLE 島嶼餐廳,20,3.85,"{'positive': 13, 'negative': 7}"
【台北君悅酒店】Bel Air 寶艾西餐廳,20,4.9,{'positive': 20}
【台北君悅酒店】Cheers 歡飲廊,20,4.15,"{'positive': 16, 'negative': 4}"
【台北君悅酒店】ZIGA ZAGA 義大利餐廳,20,3.75,"{'positive': 14, 'negative': 6}"
【台北君悅酒店】凱菲屋 Café,20,4.1,"{'positive': 16, 'negative': 4}"
【台北君悅酒店】彩日本料理 Irodori,20,3.95,"{'positive': 15, 'negative': 5}"
【台北君悅酒店】漂亮廣式海鮮餐廳 Pearl Liang,20,4.45,"{'positive': 18, 'negative': 2}"
【台北君悅酒店】茶苑 Cha Lounge,20,4.65,"{'positive': 19, 'negative': 1}"
【台北君悅酒店】雲錦中餐廳 Yun Jin,20,4.4,"{'positive': 17, 'negative': 3}"
【腹響圓上海食府】亞太十大名廚｜頂級江浙料理｜上海名菜 (推薦 公館商圈 台大附近 捷運站美食 餐廳),40,4.45,"{'positive': 33, 'negative': 7}"
すき家 SUKIYA 北車K區店,20,2.65,"{'negative': 12, 'positive': 8}"
すき家大安,20,2.5,"{'negative': 13, 'positive': 7}"
すき家林森南路,20,2.35,"{'negative': 14, 'positive': 6}"
スシロー壽司郎 台北公館店,40,4.225,"{'positive': 33, 'negative': 7}"
一口入魂雞白湯拉麵,20,4.45,"{'positive': 17, 'negative': 3}"
一品香便當,20,4.6,"{'positive': 19, 'negative': 1}"
一番地壽喜燒 開封店,20,4.5,"{'positive': 18, 'negative': 2}"
一階堂拉麵 大安店,20,4.0,"{'positive': 15, 'negative': 5}"
三井日式料理,20,3.95,"{'positive': 15, 'negative': 5}"
三個傻瓜印度蔬食南京店,20,4.45,"{'positive': 18, 'negative': 2}"
三元號魯肉飯,20,4.15,"{'positive': 16, 'negative': 4}"
三友拉麵(民生店),20,4.35,"{'positive': 17, 'negative': 3}"
三商巧福 敦北門市,20,3.35,"{'positive': 12, 'negative': 8}"
三時午咖哩屋,40,4.25,"{'positive': 34, 'negative': 6}"
三條蘭州牛肉拉麵 Three Spirit Noodles House,20,4.25,"{'positive': 16, 'negative': 4}"
三老村,20,3.5,"{'positive': 12, 'negative': 8}"
上引水產,20,4.0,"{'positive': 15, 'negative': 5}"
上海宴,20,4.7,"{'positive': 19, 'negative': 1}"
上海極品軒餐廳(煉珍堂),20,4.25,"{'positive': 15, 'negative': 5}"
上海醉月樓 - 台北遠東香格里拉,20,4.5,"{'positive': 18, 'negative': 2}"
上膳若川,20,4.6,"{'positive': 18, 'negative': 2}"
丘一司早午餐大安|特色吐司|酥皮蛋餅|高蛋白餐,20,4.4,"{'positive': 17, 'negative': 3}"
中島水產(台北101店),9,4.333333333333333,"{'positive': 7, 'negative': 2}"
丹尼酒窖 - Danny Wine Collection,14,4.428571428571429,"{'positive': 12, 'negative': 2}"
丼壽司,40,4.55,"{'positive': 36, 'negative': 4}"
九尾 日式串燒居酒屋 (1/22已結束，要搬家啦!),19,4.7894736842105265,"{'positive': 18, 'negative': 1}"
九月茶餐廳,20,4.55,"{'positive': 17, 'negative': 3}"
二本松涮涮屋 本館,20,4.85,"{'positive': 19, 'negative': 1}"
五之神製作所 台灣,20,4.0,"{'positive': 14, 'negative': 6}"
五九麵館,20,4.2,"{'positive': 15, 'negative': 5}"
五九麵館（公館店）,40,4.125,"{'positive': 29, 'negative': 11}"
五月雪客家私房珍釀,20,4.45,"{'positive': 18, 'negative': 2}"
五燈獎 台北店,20,3.1,"{'negative': 13, 'positive': 7}"
京典越南美食,20,3.85,"{'positive': 15, 'negative': 5}"
京炙鐵板燒,20,4.7,{'positive': 20}
京阪豚骨拉麵,40,4.525,"{'positive': 36, 'negative': 4}"
京鼎小館,20,4.0,"{'positive': 15, 'negative': 5}"
人从众 台北公館店,40,3.7,"{'positive': 25, 'negative': 15}"
